,rank,score,pid,first_name,last_name,tid,team_name,games_played,games_started,minutes,points,field_goals_made,field_goals_att,field_goals_pct,three_points_made,three_points_att,three_points_pct,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,assists_turnover_ratio,steals,blocks,personal_fouls
0,1,28.1,74a45eed-f2b0-4886-ae71-d04cf7d59528,拉塞尔,威斯布鲁克,583ecfff-fb46-11e1-82cb-f4ce4684ea4c,雷霆,67,67,34.4,28.1,9.4,22.0,0.426,1.3,4.3,0.299,8.2,9.8,0.835,1.9,5.4,7.3,8.6,4.4,2.0,2.1,0.21,2.8
1,2,27.4,a52b2c84-9c3d-4d6e-8a3b-10e75d11c2bc,詹姆斯,哈登,583ecb3a-fb46-11e1-82cb-f4ce4684ea4c,火箭,81,81,36.8,27.4,8.0,18.2,0.44,2.6,6.9,0.375,8.8,10.2,0.868,0.93,4.7,5.7,7.0,4.0,1.8,1.9,0.74,2.6
2,3,25.4,53f2fa48-e61b-49fb-843d-8a3e872257eb,凯文,杜兰特,583ecfff-fb46-11e1-82cb-f4ce4684ea4c,雷霆,27,27,33.8,25.4,8.8,17.3,0.51,2.4,5.9,0.403,5.4,6.3,0.854,0.59,6.0,6.6,4.1,2.7,1.5,0.89,0.93,1.5
3,4,25.3,0afbe608-940a-4d5d-a1f7-468718c67d91,勒布朗,詹姆斯,583ec773-fb46-11e1-82cb-f4ce4684ea4c,骑士,69,69,36.1,25.3,9.0,18.5,0.488,1.7,4.9,0.354,5.4,7.7,0.71,0.74,5.3,6.0,7.4,3.9,1.9,1.6,0.71,2.0
4,5,24.4,ea8826b8-1f76-4eab-b61e-ffcb176880f3,安东尼,戴维斯,583ecc9a-fb46-11e1-82cb-f4ce4684ea4c,鹈鹕,68,68,36.1,24.4,9.4,17.6,0.535,0.01,0.18,0.083,5.5,6.8,0.805,2.5,7.7,10.2,2.2,1.4,1.6,1.5,2.9,2.1
5,6,24.2,32688af1-7ac2-432e-b60a-74b9bd89df57,卡梅罗,安东尼,583ec70e-fb46-11e1-82cb-f4ce4684ea4c,尼克斯,40,40,35.7,24.2,9.0,20.2,0.444,1.5,4.5,0.341,4.7,5.9,0.797,1.8,4.8,6.6,3.1,2.2,1.4,1.0,0.43,2.2
6,7,24.1,cbb21aed-9716-44a2-b0e4-54ce09333b94,德马库斯,考辛斯,583ed0ac-fb46-11e1-82cb-f4ce4684ea4c,国王,59,59,34.1,24.1,8.4,18.1,0.467,0.03,0.14,0.25,7.2,9.2,0.782,3.1,9.5,12.7,3.6,4.3,0.83,1.5,1.8,4.1
7,8,23.8,8ec91366-faea-4196-bbfd-b8fab7434795,斯蒂芬,库里,583ec825-fb46-11e1-82cb-f4ce4684ea4c,勇士,80,80,32.7,23.8,8.2,16.8,0.487,3.6,8.1,0.443,3.9,4.2,0.914,0.7,3.6,4.3,7.7,3.1,2.5,2.0,0.2,2.0
8,9,23.4,3157a0b5-1b4c-46d1-934c-ac2df3810950,拉马库斯,阿尔德里奇,583ed056-fb46-11e1-82cb-f4ce4684ea4c,开拓者,71,71,35.4,23.4,9.3,19.9,0.466,0.52,1.5,0.352,4.3,5.1,0.845,2.5,7.7,10.2,1.7,1.7,1.0,0.68,0.96,1.8
9,10,22.3,fd1d76ee-9ec0-460c-b12b-29e584923cb6,科比,布莱恩特,583ecae2-fb46-11e1-82cb-f4ce4684ea4c,湖人,35,35,34.5,22.3,7.6,20.4,0.373,1.5,5.3,0.293,5.6,6.9,0.813,0.74,4.9,5.7,5.6,3.7,1.5,1.3,0.2,1.9
10,11,21.9,18358040-89d8-4e25-a6a6-9e209c26fb3a,布雷克,格里芬,583ecdfb-fb46-11e1-82cb-f4ce4684ea4c,快船,67,67,35.2,21.9,8.6,17.1,0.502,0.15,0.37,0.4,4.6,6.4,0.728,1.9,5.7,7.6,5.3,2.3,2.3,0.94,0.52,2.9
11,12,21.7,4e152a06-673e-4701-b115-aa7e2cd00d2d,克雷,汤普森,583ec825-fb46-11e1-82cb-f4ce4684ea4c,勇士,77,77,31.9,21.7,7.8,16.9,0.463,3.1,7.1,0.439,2.9,3.3,0.879,0.35,2.9,3.2,2.9,1.9,1.5,1.1,0.78,1.6
12,12,21.7,dd146010-902b-4ad7-b98c-650d0363a2f0,凯里,欧文,583ec773-fb46-11e1-82cb-f4ce4684ea4c,骑士,75,75,36.4,21.7,7.7,16.5,0.468,2.1,5.0,0.415,4.2,4.9,0.863,0.73,2.4,3.2,5.2,2.5,2.1,1.5,0.27,2.0
13,14,21.5,2038ebc0-a35b-4979-9fd6-15c72c435101,德维恩,韦德,583ecea6-fb46-11e1-82cb-f4ce4684ea4c,热火,62,62,31.8,21.5,8.2,17.5,0.47,0.47,1.7,0.284,4.6,6.0,0.768,0.94,2.6,3.5,4.8,3.4,1.4,1.2,0.34,1.7
14,15,21.1,79d56fd7-f4ed-4905-9d04-dff4b5352334,鲁迪,盖伊,583ed0ac-fb46-11e1-82cb-f4ce4684ea4c,国王,68,67,35.4,21.1,7.5,16.4,0.455,1.2,3.2,0.359,5.0,5.8,0.858,1.4,4.4,5.9,3.7,2.7,1.4,1.0,0.6,2.3
15,15,21.1,f5163a3f-f880-4c2c-ac9b-00db844246b2,克里斯,波什,583ecea6-fb46-11e1-82cb-f4ce4684ea4c,热火,44,44,35.4,21.1,7.8,16.9,0.46,1.4,3.8,0.375,4.1,5.3,0.772,1.1,6.0,7.1,2.2,2.2,1.0,0.93,0.57,1.6
16,17,21.0,5382cf43-3a79-4a5a-a7fd-153906fe65dd,达米安,利拉德,583ed056-fb46-11e1-82cb-f4ce4684ea4c,开拓者,82,82,35.7,21.0,7.2,16.6,0.434,2.4,7.0,0.343,4.2,4.9,0.864,0.6,4.0,4.6,6.2,2.7,2.3,1.2,0.26,2.0
17,18,20.1,5e86a9c3-b4d0-4fe1-a551-acd83e5d60eb,德玛尔,德罗赞,583ecda6-fb46-11e1-82cb-f4ce4684ea4c,猛龙,60,60,35.0,20.1,6.8,16.5,0.413,0.42,1.5,0.284,6.0,7.2,0.832,0.68,3.9,4.6,3.5,2.3,1.5,1.2,0.18,2.0
18,19,20.0,0e163d44-67a7-4107-9421-5333600166bb,吉米,巴特勒,583ec5fd-fb46-11e1-82cb-f4ce4684ea4c,公牛,65,65,38.7,20.0,6.5,14.0,0.462,1.1,3.0,0.378,5.9,7.1,0.834,1.8,4.1,5.8,3.3,1.4,2.3,1.8,0.55,1.7
19,19,20.0,767837db-62fa-4fc6-b118-1d56a8b23415,凯文,马丁,583eca2f-fb46-11e1-82cb-f4ce4684ea4c,森林狼,39,36,33.4,20.0,6.9,16.0,0.427,1.9,4.9,0.393,4.4,5.0,0.881,0.49,3.2,3.6,2.3,2.0,1.2,0.85,0.03,2.0
20,21,19.3,7366b2b7-5959-4dd9-9204-760e861b3119,尼科拉,乌切维奇,583ed157-fb46-11e1-82cb-f4ce4684ea4c,魔术,74,74,34.2,19.3,8.5,16.3,0.523,0.03,0.08,0.333,2.2,3.0,0.752,3.2,7.7,11.0,2.0,2.0,0.99,0.73,0.73,3.0
21,21,19.3,a1ddebee-950c-497d-9acd-b5061360b464,戈登,海沃德,583ece50-fb46-11e1-82cb-f4ce4684ea4c,爵士,76,76,34.4,19.3,6.4,14.3,0.445,1.6,4.3,0.364,4.9,6.1,0.812,0.71,4.2,4.9,4.1,2.7,1.5,1.4,0.39,1.7
22,23,19.1,942c53e3-7268-44e3-b0a9-fdff55a72c03,克里斯,保罗,583ecdfb-fb46-11e1-82cb-f4ce4684ea4c,快船,82,82,34.8,19.1,6.9,14.3,0.485,1.7,4.3,0.398,3.5,3.9,0.9,0.63,4.0,4.6,10.2,2.3,4.4,1.9,0.18,2.5
23,24,18.9,0c144557-df20-492c-bf75-be53adf92699,蒙塔,埃利斯,583ecf50-fb46-11e1-82cb-f4ce4684ea4c,独行侠,80,80,33.7,18.9,7.5,16.9,0.445,1.0,3.6,0.285,2.9,3.8,0.752,0.43,2.0,2.4,4.1,2.5,1.7,1.9,0.31,2.5
24,25,18.5,4aafa7e4-d271-42d2-8979-bdefcd221d30,保罗,加索尔,583ec5fd-fb46-11e1-82cb-f4ce4684ea4c,公牛,78,78,34.4,18.5,7.3,14.8,0.494,0.15,0.33,0.462,3.8,4.7,0.803,2.8,9.0,11.8,2.7,2.0,1.3,0.32,1.9,1.9
