,rank,score,pid,first_name,last_name,tid,team_name,games_played,games_started,minutes,points,field_goals_made,field_goals_att,field_goals_pct,three_points_made,three_points_att,three_points_pct,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,assists_turnover_ratio,steals,blocks,personal_fouls
15,16,22.1,a35ee8ed-f1db-4f7e-bb17-f823e8ee0b38,肯巴,沃克,583ec97e-fb46-11e1-82cb-f4ce4684ea4c,黄蜂,80,80,34.2,22.1,7.4,17.0,0.431,2.9,7.5,0.384,4.5,5.3,0.864,0.4,2.7,3.1,5.6,2.2,2.5,1.1,0.3,1.2
16,17,21.9,db09f372-9a17-4889-add7-bf8a75ab6da6,保罗,乔治,583ecfff-fb46-11e1-82cb-f4ce4684ea4c,雷霆,79,79,36.6,21.9,7.3,17.0,0.43,3.1,7.7,0.401,4.3,5.2,0.822,0.91,4.8,5.7,3.3,2.7,1.2,2.0,0.49,3.0
17,18,21.4,18358040-89d8-4e25-a6a6-9e209c26fb3a,布雷克,格里芬,583ecdfb-fb46-11e1-82cb-f4ce4684ea4c,快船,58,58,34.0,21.4,7.5,17.2,0.438,1.9,5.6,0.345,4.5,5.7,0.785,1.3,6.1,7.4,5.8,2.8,2.0,0.71,0.31,2.4
18,18,21.4,bc70a55a-cee0-478f-9a13-cf51c4a4187c,CJ,迈克科伦姆,583ed056-fb46-11e1-82cb-f4ce4684ea4c,开拓者,81,81,36.1,21.4,8.2,18.6,0.443,2.3,5.9,0.397,2.6,3.1,0.836,0.65,3.3,4.0,3.4,1.9,1.8,0.95,0.43,2.1
19,20,21.3,ab532a66-9314-4d57-ade7-bb54a70c65ad,卡尔-安东尼,唐斯,583eca2f-fb46-11e1-82cb-f4ce4684ea4c,森林狼,82,82,35.6,21.3,7.8,14.3,0.545,1.5,3.5,0.421,4.2,4.9,0.858,2.9,9.4,12.3,2.4,1.9,1.3,0.78,1.4,3.5
20,21,20.5,b6dde96e-3748-4cbe-86d2-798d5dffb3c0,多诺万,米切尔,583ece50-fb46-11e1-82cb-f4ce4684ea4c,爵士,79,71,33.4,20.5,7.5,17.2,0.437,2.4,7.0,0.34,3.0,3.8,0.805,0.66,3.1,3.8,3.7,2.7,1.4,1.5,0.34,2.7
21,22,20.1,4c362eee-6474-40ea-b1b4-d8f917f95175,克里斯,米德尔顿,583ecefd-fb46-11e1-82cb-f4ce4684ea4c,雄鹿,82,82,36.4,20.1,7.2,15.5,0.466,1.8,5.0,0.359,3.9,4.4,0.884,0.55,4.7,5.2,4.0,2.3,1.7,1.5,0.26,3.3
22,23,20.0,4e152a06-673e-4701-b115-aa7e2cd00d2d,克雷,汤普森,583ec825-fb46-11e1-82cb-f4ce4684ea4c,勇士,73,73,34.3,20.0,7.9,16.2,0.488,3.1,7.1,0.44,1.1,1.3,0.837,0.42,3.4,3.8,2.5,1.8,1.5,0.75,0.47,1.6
23,24,19.6,2ec7092d-e988-4576-ab8b-e3197448fa5d,T.J.,沃伦,583ecfa8-fb46-11e1-82cb-f4ce4684ea4c,太阳,65,65,33.0,19.6,8.1,16.4,0.498,0.31,1.4,0.222,3.0,3.9,0.757,1.9,3.2,5.1,1.3,1.3,1.0,1.0,0.63,2.3
24,25,19.4,a2c6a907-282f-4172-9d60-42d03987da0e,丹尼斯,施劳德,583ecb8f-fb46-11e1-82cb-f4ce4684ea4c,老鹰,67,67,31.0,19.4,7.5,17.1,0.436,1.1,3.9,0.29,3.4,4.0,0.849,0.66,2.5,3.1,6.2,2.7,2.3,1.1,0.09,2.2
