,rank,score,pid,first_name,last_name,tid,team_name,games_played,games_started,minutes,points,field_goals_made,field_goals_att,field_goals_pct,three_points_made,three_points_att,three_points_pct,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,assists_turnover_ratio,steals,blocks,personal_fouls
0,1,30.4,a52b2c84-9c3d-4d6e-8a3b-10e75d11c2bc,詹姆斯,哈登,583ecb3a-fb46-11e1-82cb-f4ce4684ea4c,火箭,72,72,35.4,30.4,9.0,20.1,0.449,3.7,10.0,0.367,8.7,10.1,0.858,0.57,4.8,5.4,8.8,4.4,2.0,1.8,0.69,2.4
1,2,28.1,ea8826b8-1f76-4eab-b61e-ffcb176880f3,安东尼,戴维斯,583ecc9a-fb46-11e1-82cb-f4ce4684ea4c,鹈鹕,75,75,36.4,28.1,10.4,19.5,0.534,0.73,2.2,0.34,6.6,8.0,0.828,2.5,8.6,11.1,2.3,2.2,1.1,1.5,2.6,2.1
2,3,27.5,0afbe608-940a-4d5d-a1f7-468718c67d91,勒布朗,詹姆斯,583ec773-fb46-11e1-82cb-f4ce4684ea4c,骑士,82,82,36.9,27.5,10.5,19.3,0.542,1.8,5.0,0.367,4.7,6.5,0.731,1.2,7.5,8.7,9.1,4.2,2.2,1.4,0.87,1.7
3,4,26.9,5382cf43-3a79-4a5a-a7fd-153906fe65dd,达米安,利拉德,583ed056-fb46-11e1-82cb-f4ce4684ea4c,开拓者,73,73,36.6,26.9,8.5,19.4,0.439,3.1,8.6,0.361,6.8,7.4,0.916,0.85,3.6,4.5,6.6,2.8,2.3,1.1,0.37,1.6
4,4,26.9,6c60282d-165a-4cba-8e5a-4f2d9d4c5905,吉安尼斯,安特托孔波,583ecefd-fb46-11e1-82cb-f4ce4684ea4c,雄鹿,75,75,36.7,26.9,9.9,18.7,0.529,0.57,1.9,0.307,6.5,8.6,0.76,2.1,8.0,10.0,4.8,3.0,1.6,1.5,1.4,3.1
5,6,26.4,53f2fa48-e61b-49fb-843d-8a3e872257eb,凯文,杜兰特,583ec825-fb46-11e1-82cb-f4ce4684ea4c,勇士,68,68,34.2,26.4,9.3,18.0,0.516,2.5,6.1,0.419,5.3,5.9,0.889,0.46,6.4,6.8,5.4,3.0,1.8,0.74,1.8,2.0
6,7,25.4,74a45eed-f2b0-4886-ae71-d04cf7d59528,拉塞尔,威斯布鲁克,583ecfff-fb46-11e1-82cb-f4ce4684ea4c,雷霆,80,80,36.4,25.4,9.5,21.1,0.449,1.2,4.1,0.298,5.2,7.1,0.737,1.9,8.2,10.1,10.3,4.8,2.2,1.8,0.25,2.5
7,8,24.4,dd146010-902b-4ad7-b98c-650d0363a2f0,凯里,欧文,583eccfa-fb46-11e1-82cb-f4ce4684ea4c,凯尔特人,60,60,32.2,24.4,8.9,18.1,0.491,2.8,6.8,0.408,3.9,4.4,0.889,0.55,3.2,3.8,5.1,2.3,2.2,1.1,0.28,2.0
8,9,23.1,3157a0b5-1b4c-46d1-934c-ac2df3810950,拉马库斯,阿尔德里奇,583ecd4f-fb46-11e1-82cb-f4ce4684ea4c,马刺,75,75,33.5,23.1,9.2,18.0,0.51,0.36,1.2,0.293,4.5,5.3,0.837,3.3,5.2,8.5,2.0,1.5,1.4,0.57,1.2,2.2
9,9,23.1,ae9e275c-9dce-4c10-a108-cfee6958df48,维克托,奥拉迪波,583ec7cd-fb46-11e1-82cb-f4ce4684ea4c,步行者,75,75,34.0,23.1,8.5,17.9,0.477,2.2,5.8,0.371,3.9,4.9,0.799,0.63,4.6,5.2,4.3,2.9,1.5,2.4,0.76,2.3
10,11,23.0,5e86a9c3-b4d0-4fe1-a551-acd83e5d60eb,德玛尔,德罗赞,583ecda6-fb46-11e1-82cb-f4ce4684ea4c,猛龙,80,80,33.9,23.0,8.1,17.7,0.456,1.1,3.6,0.31,5.8,7.0,0.825,0.74,3.2,3.9,5.2,2.2,2.4,1.1,0.28,1.9
11,12,22.9,bf9ad0fd-0cb8-4360-8970-5f1b5cf3fa8d,乔尔,恩比德,583ec87d-fb46-11e1-82cb-f4ce4684ea4c,76\u4eba,63,63,30.3,22.9,8.1,16.8,0.483,1.1,3.4,0.308,5.7,7.4,0.769,2.3,8.7,11.0,3.2,3.7,0.85,0.63,1.8,3.3
12,13,22.6,2629c593-5f7c-4d34-aec7-6b949572af2a,路易斯,威廉姆斯,583ecdfb-fb46-11e1-82cb-f4ce4684ea4c,快船,79,19,32.8,22.6,7.4,16.9,0.435,2.4,6.6,0.359,5.5,6.2,0.88,0.51,2.0,2.5,5.3,3.0,1.8,1.1,0.24,1.3
13,13,22.6,ff461754-ad20-4eeb-af02-2b46cc980b24,布拉德利,比尔,583ec8d4-fb46-11e1-82cb-f4ce4684ea4c,奇才,82,82,36.3,22.6,8.3,18.1,0.46,2.4,6.5,0.375,3.6,4.5,0.791,0.74,3.7,4.4,4.5,2.6,1.7,1.2,0.44,2.0
14,15,22.2,0e163d44-67a7-4107-9421-5333600166bb,吉米,巴特勒,583eca2f-fb46-11e1-82cb-f4ce4684ea4c,森林狼,59,59,36.7,22.2,7.4,15.6,0.474,1.2,3.4,0.35,6.2,7.2,0.854,1.3,4.0,5.3,4.9,1.8,2.7,2.0,0.41,1.3
