,rank,score,pid,first_name,last_name,tid,team_name,games_played,games_started,minutes,points,field_goals_made,field_goals_att,field_goals_pct,three_points_made,three_points_att,three_points_pct,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,assists_turnover_ratio,steals,blocks,personal_fouls
10,10,25.6,ff461754-ad20-4eeb-af02-2b46cc980b24,布拉德利,比尔,583ec8d4-fb46-11e1-82cb-f4ce4684ea4c,奇才,82,82,36.9,25.6,9.3,19.6,0.475,2.6,7.3,0.351,4.4,5.5,0.808,1.1,3.9,5.0,5.5,2.7,2.0,1.5,0.71,2.8
11,12,24.5,18358040-89d8-4e25-a6a6-9e209c26fb3a,布雷克,格里芬,583ec928-fb46-11e1-82cb-f4ce4684ea4c,活塞,75,75,35.0,24.5,8.3,17.9,0.462,2.5,7.0,0.362,5.5,7.3,0.753,1.3,6.2,7.5,5.4,3.4,1.6,0.69,0.37,2.7
12,13,24.4,ab532a66-9314-4d57-ade7-bb54a70c65ad,卡尔-安东尼,唐斯,583eca2f-fb46-11e1-82cb-f4ce4684ea4c,森林狼,77,77,33.1,24.4,8.8,17.1,0.518,1.8,4.6,0.4,4.9,5.8,0.836,3.4,9.0,12.4,3.4,3.1,1.1,0.87,1.6,3.8
13,14,23.8,b6dde96e-3748-4cbe-86d2-798d5dffb3c0,多诺万,米切尔,583ece50-fb46-11e1-82cb-f4ce4684ea4c,爵士,77,77,33.7,23.8,8.6,19.9,0.432,2.4,6.7,0.362,4.1,5.1,0.806,0.77,3.3,4.1,4.2,2.8,1.5,1.4,0.4,2.7
14,14,23.8,dd146010-902b-4ad7-b98c-650d0363a2f0,凯里,欧文,583eccfa-fb46-11e1-82cb-f4ce4684ea4c,凯尔特人,67,67,33.0,23.8,9.0,18.5,0.487,2.6,6.5,0.401,3.2,3.7,0.873,1.1,3.9,5.0,6.9,2.6,2.7,1.5,0.51,2.5
15,16,23.7,db72e294-1c54-454a-96b9-0b4fd2f38112,扎克,拉文,583ec5fd-fb46-11e1-82cb-f4ce4684ea4c,公牛,63,62,34.5,23.7,8.4,18.0,0.467,1.9,5.1,0.374,5.0,6.0,0.832,0.63,4.0,4.7,4.5,3.4,1.3,0.95,0.41,2.2
16,17,22.9,74a45eed-f2b0-4886-ae71-d04cf7d59528,拉塞尔,威斯布鲁克,583ecfff-fb46-11e1-82cb-f4ce4684ea4c,雷霆,73,73,36.0,22.9,8.6,20.2,0.428,1.6,5.6,0.29,4.1,6.2,0.656,1.5,9.6,11.1,10.7,4.5,2.4,2.0,0.45,3.4
17,18,21.5,4e152a06-673e-4701-b115-aa7e2cd00d2d,克雷,汤普森,583ec825-fb46-11e1-82cb-f4ce4684ea4c,勇士,78,78,34.0,21.5,8.4,18.0,0.467,3.1,7.7,0.402,1.7,2.0,0.816,0.47,3.4,3.8,2.4,1.5,1.6,1.1,0.6,2.0
18,19,21.4,24c85a15-686e-4161-934b-40948188fa36,朱利叶斯,兰德尔,583ecc9a-fb46-11e1-82cb-f4ce4684ea4c,鹈鹕,73,49,30.6,21.4,7.8,14.9,0.524,0.92,2.7,0.344,4.9,6.7,0.731,2.2,6.5,8.7,3.1,2.9,1.1,0.71,0.62,3.4
19,20,21.3,3157a0b5-1b4c-46d1-934c-ac2df3810950,拉马库斯,阿尔德里奇,583ecd4f-fb46-11e1-82cb-f4ce4684ea4c,马刺,81,81,33.2,21.3,8.4,16.3,0.519,0.12,0.52,0.238,4.3,5.1,0.847,3.1,6.1,9.2,2.4,1.8,1.4,0.53,1.3,2.2
20,21,21.2,5e86a9c3-b4d0-4fe1-a551-acd83e5d60eb,德玛尔,德罗赞,583ecd4f-fb46-11e1-82cb-f4ce4684ea4c,马刺,77,77,34.9,21.2,8.2,17.1,0.481,0.09,0.58,0.156,4.8,5.7,0.83,0.7,5.3,6.0,6.2,2.6,2.4,1.1,0.47,2.3
21,21,21.2,65700e81-3aa0-49a9-8a94-004f2cfb64e5,朱,霍乐迪,583ecc9a-fb46-11e1-82cb-f4ce4684ea4c,鹈鹕,67,67,35.9,21.2,8.2,17.3,0.472,1.8,5.4,0.325,3.1,4.0,0.768,1.1,3.9,5.0,7.7,3.1,2.5,1.6,0.81,2.2
22,21,21.2,d2ee92e9-3e72-45eb-b156-2dc5adc1e6f7,卢卡,东契奇,583ecf50-fb46-11e1-82cb-f4ce4684ea4c,独行侠,72,72,32.2,21.2,7.0,16.5,0.427,2.3,7.1,0.327,4.8,6.7,0.713,1.2,6.6,7.8,6.0,3.4,1.7,1.1,0.35,1.9
23,24,21.1,460b7264-b98f-483e-b841-59a18c2e4d67,迈克,康利,583eca88-fb46-11e1-82cb-f4ce4684ea4c,灰熊,70,70,33.5,21.1,7.0,16.0,0.438,2.2,6.1,0.364,4.9,5.8,0.845,0.57,2.8,3.4,6.4,1.9,3.5,1.3,0.31,1.8
24,24,21.1,dbf09e15-1cd8-434e-acda-9527735ef4d6,德安吉洛,拉塞尔,583ec9d6-fb46-11e1-82cb-f4ce4684ea4c,篮网,81,81,30.2,21.1,8.1,18.7,0.434,2.9,7.8,0.369,2.0,2.5,0.78,0.65,3.2,3.9,7.0,3.1,2.2,1.2,0.25,1.7
