,rank,score,pid,first_name,last_name,tid,team_name,games_played,games_started,minutes,points,field_goals_made,field_goals_att,field_goals_pct,three_points_made,three_points_att,three_points_pct,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,assists_turnover_ratio,steals,blocks,personal_fouls
0,1,36.1,a52b2c84-9c3d-4d6e-8a3b-10e75d11c2bc,詹姆斯,哈登,583ecb3a-fb46-11e1-82cb-f4ce4684ea4c,火箭,78,78,36.8,36.1,10.8,24.5,0.442,4.9,13.2,0.368,9.7,11.0,0.879,0.85,5.8,6.6,7.5,5.0,1.5,2.0,0.74,3.1
1,2,28.0,db09f372-9a17-4889-add7-bf8a75ab6da6,保罗,乔治,583ecfff-fb46-11e1-82cb-f4ce4684ea4c,雷霆,77,77,36.9,28.0,9.2,21.0,0.438,3.8,9.8,0.386,5.9,7.0,0.839,1.4,6.8,8.2,4.1,2.7,1.6,2.2,0.44,2.8
2,3,27.7,6c60282d-165a-4cba-8e5a-4f2d9d4c5905,吉安尼斯,安特托孔波,583ecefd-fb46-11e1-82cb-f4ce4684ea4c,雄鹿,72,72,32.8,27.7,10.0,17.3,0.578,0.72,2.8,0.256,6.9,9.5,0.729,2.2,10.3,12.5,5.9,3.7,1.6,1.3,1.5,3.2
3,4,27.5,bf9ad0fd-0cb8-4360-8970-5f1b5cf3fa8d,乔尔,恩比德,583ec87d-fb46-11e1-82cb-f4ce4684ea4c,76\u4eba,64,64,33.7,27.5,9.1,18.7,0.484,1.2,4.1,0.3,8.2,10.1,0.804,2.5,11.1,13.6,3.7,3.5,1.0,0.72,1.9,3.3
4,5,27.3,8ec91366-faea-4196-bbfd-b8fab7434795,斯蒂芬,库里,583ec825-fb46-11e1-82cb-f4ce4684ea4c,勇士,69,69,33.8,27.3,9.2,19.4,0.472,5.1,11.7,0.437,3.8,4.2,0.916,0.65,4.7,5.4,5.2,2.8,1.9,1.3,0.36,2.4
5,6,26.6,31baa84f-c759-4f92-8e1f-a92305ade3d6,德文,布克,583ecfa8-fb46-11e1-82cb-f4ce4684ea4c,太阳,64,64,35.0,26.6,9.2,19.6,0.467,2.1,6.5,0.326,6.1,7.1,0.866,0.61,3.5,4.1,6.8,4.1,1.6,0.88,0.2,3.1
6,6,26.6,c12fb587-fc86-471c-8a84-19caf31325ce,考瓦伊,莱昂纳德,583ecda6-fb46-11e1-82cb-f4ce4684ea4c,猛龙,60,60,34.0,26.6,9.3,18.8,0.496,1.9,5.0,0.371,6.1,7.1,0.854,1.3,6.0,7.3,3.3,2.0,1.6,1.8,0.4,1.5
7,8,26.0,53f2fa48-e61b-49fb-843d-8a3e872257eb,凯文,杜兰特,583ec825-fb46-11e1-82cb-f4ce4684ea4c,勇士,78,78,34.6,26.0,9.2,17.7,0.521,1.8,5.0,0.353,5.7,6.5,0.885,0.42,6.0,6.4,5.9,2.9,2.0,0.74,1.1,2.0
8,9,25.8,5382cf43-3a79-4a5a-a7fd-153906fe65dd,达米安,利拉德,583ed056-fb46-11e1-82cb-f4ce4684ea4c,开拓者,80,80,35.5,25.8,8.5,19.2,0.444,3.0,8.0,0.369,5.9,6.4,0.912,0.85,3.8,4.6,6.9,2.7,2.6,1.1,0.43,1.9
9,10,25.6,a35ee8ed-f1db-4f7e-bb17-f823e8ee0b38,肯巴,沃克,583ec97e-fb46-11e1-82cb-f4ce4684ea4c,黄蜂,82,82,34.9,25.6,8.9,20.5,0.434,3.2,8.9,0.356,4.6,5.5,0.844,0.63,3.8,4.4,5.9,2.6,2.3,1.2,0.41,1.6
