,rank,score,pid,first_name,last_name,tid,team_name,games_played,games_started,minutes,points,field_goals_made,field_goals_att,field_goals_pct,three_points_made,three_points_att,three_points_pct,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,assists_turnover_ratio,steals,blocks,personal_fouls
0,1,31.6,74a45eed-f2b0-4886-ae71-d04cf7d59528,拉塞尔,威斯布鲁克,583ecfff-fb46-11e1-82cb-f4ce4684ea4c,雷霆,81,81,34.6,31.6,10.2,24.0,0.425,2.5,7.2,0.343,8.8,10.4,0.845,1.7,9.0,10.7,10.4,5.4,1.9,1.6,0.38,2.4
1,2,29.1,a52b2c84-9c3d-4d6e-8a3b-10e75d11c2bc,詹姆斯,哈登,583ecb3a-fb46-11e1-82cb-f4ce4684ea4c,火箭,81,81,36.4,29.1,8.3,18.9,0.44,3.2,9.3,0.347,9.2,10.9,0.847,1.2,7.0,8.1,11.2,5.7,2.0,1.5,0.47,2.7
2,3,28.9,bda5388e-a657-4e2c-8e12-6ed474518d25,伊赛亚,托马斯,583eccfa-fb46-11e1-82cb-f4ce4684ea4c,凯尔特人,76,76,33.8,28.9,9.0,19.4,0.463,3.2,8.5,0.379,7.8,8.5,0.909,0.57,2.1,2.7,5.9,2.8,2.1,0.92,0.17,2.2
3,4,28.0,ea8826b8-1f76-4eab-b61e-ffcb176880f3,安东尼,戴维斯,583ecc9a-fb46-11e1-82cb-f4ce4684ea4c,鹈鹕,75,75,36.1,28.0,10.3,20.4,0.505,0.53,1.8,0.299,6.9,8.6,0.802,2.3,9.5,11.8,2.1,2.4,0.87,1.3,2.2,2.2
4,5,27.3,5e86a9c3-b4d0-4fe1-a551-acd83e5d60eb,德玛尔,德罗赞,583ecda6-fb46-11e1-82cb-f4ce4684ea4c,猛龙,74,74,35.4,27.3,9.7,20.9,0.467,0.45,1.7,0.266,7.4,8.7,0.842,0.95,4.3,5.2,3.9,2.4,1.6,1.1,0.18,1.8
5,6,27.0,5382cf43-3a79-4a5a-a7fd-153906fe65dd,达米安,利拉德,583ed056-fb46-11e1-82cb-f4ce4684ea4c,开拓者,75,75,35.9,27.0,8.8,19.8,0.444,2.9,7.7,0.37,6.5,7.3,0.895,0.61,4.3,4.9,5.9,2.6,2.2,0.91,0.27,2.0
6,6,27.0,cbb21aed-9716-44a2-b0e4-54ce09333b94,德马库斯,考辛斯,583ed0ac-fb46-11e1-82cb-f4ce4684ea4c,国王,72,72,34.2,27.0,9.0,19.9,0.452,1.8,5.0,0.361,7.2,9.3,0.772,2.1,8.9,11.0,4.6,3.7,1.2,1.4,1.3,3.9
7,8,26.4,0afbe608-940a-4d5d-a1f7-468718c67d91,勒布朗,詹姆斯,583ec773-fb46-11e1-82cb-f4ce4684ea4c,骑士,74,74,37.8,26.4,10.0,18.2,0.548,1.7,4.6,0.363,4.8,7.2,0.674,1.3,7.3,8.6,8.7,4.1,2.1,1.2,0.59,1.8
8,9,25.5,c12fb587-fc86-471c-8a84-19caf31325ce,考瓦伊,莱昂纳德,583ecd4f-fb46-11e1-82cb-f4ce4684ea4c,马刺,74,74,33.4,25.5,8.6,17.7,0.485,2.0,5.2,0.38,6.3,7.2,0.88,1.1,4.7,5.8,3.5,2.1,1.7,1.8,0.74,1.7
9,10,25.3,8ec91366-faea-4196-bbfd-b8fab7434795,斯蒂芬,库里,583ec825-fb46-11e1-82cb-f4ce4684ea4c,勇士,79,79,33.4,25.3,8.5,18.3,0.468,4.1,10.0,0.411,4.1,4.6,0.898,0.77,3.7,4.5,6.6,3.0,2.2,1.8,0.22,2.3
10,11,25.2,dd146010-902b-4ad7-b98c-650d0363a2f0,凯里,欧文,583ec773-fb46-11e1-82cb-f4ce4684ea4c,骑士,72,72,35.1,25.2,9.3,19.7,0.473,2.5,6.1,0.401,4.1,4.6,0.905,0.72,2.5,3.2,5.8,2.5,2.3,1.2,0.33,2.2
