,rank,score,pid,first_name,last_name,tid,team_name,games_played,games_started,minutes,points,field_goals_made,field_goals_att,field_goals_pct,three_points_made,three_points_att,three_points_pct,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,assists_turnover_ratio,steals,blocks,personal_fouls
0,1,34.4,a52b2c84-9c3d-4d6e-8a3b-10e75d11c2bc,詹姆斯,哈登,583ecb3a-fb46-11e1-82cb-f4ce4684ea4c,火箭,61,61,36.7,34.4,9.9,22.7,0.435,4.4,12.6,0.352,10.2,11.8,0.861,1.1,5.3,6.4,7.4,4.5,1.7,1.7,0.87,3.4
1,2,30.5,ff461754-ad20-4eeb-af02-2b46cc980b24,布拉德利,比尔,583ec8d4-fb46-11e1-82cb-f4ce4684ea4c,奇才,57,57,36.0,30.5,10.4,22.9,0.455,3.0,8.4,0.353,6.8,8.0,0.842,0.91,3.3,4.3,6.1,3.4,1.8,1.3,0.4,2.2
2,3,29.6,6c60282d-165a-4cba-8e5a-4f2d9d4c5905,扬尼斯,安特托昆博,583ecefd-fb46-11e1-82cb-f4ce4684ea4c,雄鹿,57,57,30.9,29.6,10.9,20.0,0.547,1.5,4.8,0.306,6.3,10.0,0.633,2.3,11.5,13.7,5.8,3.7,1.6,1.0,1.0,3.0
3,3,29.6,cf418e0c-de9d-438f-a1ac-3be539a56c42,特雷,杨,583ecb8f-fb46-11e1-82cb-f4ce4684ea4c,老鹰,60,60,35.3,29.6,9.1,20.8,0.437,3.4,9.5,0.361,8.0,9.3,0.86,0.53,3.7,4.3,9.3,4.8,1.9,1.1,0.13,1.7
4,5,28.9,5382cf43-3a79-4a5a-a7fd-153906fe65dd,达米安,利拉德,583ed056-fb46-11e1-82cb-f4ce4684ea4c,开拓者,58,58,36.9,28.9,9.2,20.0,0.457,3.9,9.9,0.394,6.7,7.6,0.888,0.52,3.8,4.3,7.8,2.9,2.7,1.0,0.36,1.7
5,6,28.7,d2ee92e9-3e72-45eb-b156-2dc5adc1e6f7,卢卡,东契奇,583ecf50-fb46-11e1-82cb-f4ce4684ea4c,独行侠,54,54,33.3,28.7,9.5,20.6,0.461,2.9,9.1,0.318,6.8,9.1,0.752,1.3,8.0,9.3,8.7,4.2,2.1,1.1,0.19,2.5
6,7,27.5,74a45eed-f2b0-4886-ae71-d04cf7d59528,拉塞尔,威斯布鲁克,583ecb3a-fb46-11e1-82cb-f4ce4684ea4c,火箭,53,53,35.9,27.5,10.7,22.6,0.474,0.96,3.8,0.254,5.1,6.5,0.777,1.8,6.3,8.0,7.0,4.5,1.6,1.7,0.32,3.5
7,8,26.9,c12fb587-fc86-471c-8a84-19caf31325ce,考瓦伊,莱昂纳德,583ecdfb-fb46-11e1-82cb-f4ce4684ea4c,快船,51,51,32.2,26.9,9.3,19.9,0.469,2.1,5.7,0.366,6.1,6.9,0.889,1.0,6.3,7.3,5.0,2.8,1.8,1.8,0.61,1.9
8,9,26.7,ea8826b8-1f76-4eab-b61e-ffcb176880f3,安东尼,戴维斯,583ecae2-fb46-11e1-82cb-f4ce4684ea4c,湖人,55,55,34.3,26.7,9.2,18.1,0.511,1.2,3.5,0.335,7.0,8.3,0.845,2.3,7.2,9.4,3.1,2.5,1.3,1.5,2.4,2.5
9,10,26.1,31baa84f-c759-4f92-8e1f-a92305ade3d6,德文,布克,583ecfa8-fb46-11e1-82cb-f4ce4684ea4c,太阳,62,62,36.1,26.1,8.8,18.0,0.487,2.0,5.7,0.36,6.5,7.1,0.916,0.44,3.7,4.2,6.6,3.9,1.7,0.73,0.26,3.0
