,rank,score,pid,first_name,last_name,tid,team_name,games_played,games_started,minutes,points,field_goals_made,field_goals_att,field_goals_pct,three_points_made,three_points_att,three_points_pct,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,assists_turnover_ratio,steals,blocks,personal_fouls
10,11,25.7,0afbe608-940a-4d5d-a1f7-468718c67d91,勒布朗,詹姆斯,583ecae2-fb46-11e1-82cb-f4ce4684ea4c,湖人,60,60,34.9,25.7,9.8,19.6,0.498,2.2,6.4,0.349,4.0,5.7,0.697,0.98,6.9,7.9,10.6,4.0,2.7,1.2,0.5,1.8
11,12,25.5,db72e294-1c54-454a-96b9-0b4fd2f38112,扎克,拉文,583ec5fd-fb46-11e1-82cb-f4ce4684ea4c,公牛,60,60,34.8,25.5,9.0,20.0,0.45,3.1,8.1,0.38,4.5,5.6,0.802,0.68,4.1,4.8,4.2,3.4,1.2,1.5,0.47,2.2
12,13,24.3,8082841d-e516-43c6-a81b-7987fa321acd,布兰顿,英格拉姆,583ecc9a-fb46-11e1-82cb-f4ce4684ea4c,鹈鹕,56,56,34.3,24.3,8.4,18.0,0.466,2.5,6.3,0.387,5.1,5.9,0.858,0.88,5.4,6.3,4.3,3.1,1.4,1.0,0.66,2.9
13,14,24.2,b6dde96e-3748-4cbe-86d2-798d5dffb3c0,多诺万,米切尔,583ece50-fb46-11e1-82cb-f4ce4684ea4c,爵士,63,63,34.4,24.2,8.9,19.6,0.453,2.5,6.8,0.364,4.0,4.6,0.859,0.7,3.7,4.4,4.2,2.7,1.6,1.1,0.19,2.4
14,15,23.6,3df1db1d-6596-489e-8e26-80f60fd9b1f4,帕斯卡尔,西亚卡姆,583ecda6-fb46-11e1-82cb-f4ce4684ea4c,猛龙,53,53,35.5,23.6,8.7,18.9,0.459,2.2,6.0,0.359,4.2,5.2,0.8,1.1,6.5,7.5,3.6,2.5,1.5,1.0,0.92,2.9
15,15,23.6,98136da3-452f-49dc-a794-1ee9c76443f2,杰森,塔图姆,583eccfa-fb46-11e1-82cb-f4ce4684ea4c,凯尔特人,59,59,34.6,23.6,8.5,18.9,0.448,2.8,7.1,0.398,3.8,4.7,0.806,0.97,6.1,7.1,2.9,2.2,1.3,1.4,0.9,2.1
16,17,22.5,bc70a55a-cee0-478f-9a13-cf51c4a4187c,CJ,迈克科伦姆,583ed056-fb46-11e1-82cb-f4ce4684ea4c,开拓者,62,62,36.0,22.5,8.9,19.6,0.453,2.8,7.4,0.38,2.0,2.7,0.75,0.66,3.4,4.1,4.3,1.9,2.3,0.74,0.63,2.6
17,18,22.2,5e86a9c3-b4d0-4fe1-a551-acd83e5d60eb,德玛尔,德罗赞,583ecd4f-fb46-11e1-82cb-f4ce4684ea4c,马刺,61,61,34.3,22.2,8.3,15.7,0.526,0.13,0.49,0.267,5.5,6.6,0.843,0.64,5.0,5.6,5.6,2.4,2.3,1.0,0.23,2.7
18,19,21.8,77c425f0-0fce-4fab-bd1e-c915c8fb5bc7,安德鲁,维金斯,583eca2f-fb46-11e1-82cb-f4ce4684ea4c,森林狼,54,54,34.4,21.8,8.1,18.1,0.447,2.1,6.2,0.332,3.5,5.0,0.709,1.2,3.9,5.1,3.7,2.4,1.5,0.83,0.98,2.4
19,20,21.2,a35ee8ed-f1db-4f7e-bb17-f823e8ee0b38,肯巴,沃克,583eccfa-fb46-11e1-82cb-f4ce4684ea4c,凯尔特人,50,50,31.8,21.2,7.0,16.6,0.421,3.3,8.8,0.377,3.9,4.5,0.867,0.66,3.4,4.1,4.9,2.1,2.3,0.94,0.5,1.5
20,21,21.1,4c362eee-6474-40ea-b1b4-d8f917f95175,克里斯,米德尔顿,583ecefd-fb46-11e1-82cb-f4ce4684ea4c,雄鹿,55,52,30.1,21.1,7.7,15.5,0.499,2.4,5.8,0.418,3.2,3.6,0.908,0.73,5.5,6.2,4.1,2.1,2.0,0.93,0.13,2.2
21,22,20.8,80b5cccf-203b-4482-92aa-76d1598216be,科林,塞克斯顿,583ec773-fb46-11e1-82cb-f4ce4684ea4c,骑士,65,65,33.0,20.8,7.9,16.7,0.472,1.5,3.9,0.38,3.5,4.1,0.846,0.94,2.2,3.1,3.0,2.4,1.2,1.0,0.11,2.2
22,23,20.6,8426ab40-888d-4f89-976c-cd9e23717653,斯宾塞,丁翁迪,583ec9d6-fb46-11e1-82cb-f4ce4684ea4c,篮网,64,49,31.2,20.6,6.6,16.0,0.415,1.9,6.3,0.308,5.4,7.0,0.778,0.5,3.0,3.5,6.8,2.7,2.5,0.63,0.33,2.8
23,24,20.4,cfc1e41b-74ab-45ee-8132-aaf9ca7f8163,达龙,福克斯,583ed0ac-fb46-11e1-82cb-f4ce4684ea4c,国王,45,43,31.7,20.4,7.3,15.4,0.475,1.0,3.4,0.307,4.8,6.8,0.703,0.67,3.4,4.0,6.8,3.1,2.2,1.4,0.51,2.9
24,24,20.4,ffc5579c-783f-4d62-80ab-3c3dcb05a27d,杰伦,布朗,583eccfa-fb46-11e1-82cb-f4ce4684ea4c,凯尔特人,50,50,34.0,20.4,7.6,15.4,0.49,2.1,5.6,0.381,3.2,4.3,0.736,1.1,5.3,6.4,2.2,2.3,0.94,1.1,0.32,3.0
