,排名,球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
48,148,以赛亚-斯图尔特,活塞,7.90,3.30-6.00,55.3%,0.30-0.90,33.3%,0.90-1.40,69.6%,68,21.40
49,149,安芬尼-西蒙斯,开拓者,7.80,2.60-6.30,41.9%,1.90-4.40,42.6%,0.70-0.90,80.7%,64,17.30
50,150,托马什-萨托兰斯基,公牛,7.70,2.90-5.70,51.4%,0.70-2.00,35.6%,1.20-1.40,84.8%,58,22.50
1,150,佩顿-普里查德,凯尔特人,7.70,2.80-6.30,44%,1.50-3.80,41.1%,0.60-0.70,88.9%,66,19.20
2,152,加莱特-坦普尔,公牛,7.60,2.80-6.80,41.5%,1.20-3.60,33.5%,0.70-0.90,80%,56,27.30
3,152,特里斯坦-汤普森,凯尔特人,7.60,3.10-6.00,51.8%,0.00-0.10,0%,1.30-2.20,59.2%,54,23.80
4,152,史蒂文-亚当斯,鹈鹕,7.60,3.30-5.30,61.4%,0.00-0.10,0%,1.00-2.30,44.4%,58,27.70
5,155,埃德蒙-萨姆纳,步行者,7.50,2.80-5.30,52.5%,0.70-1.70,39.8%,1.30-1.60,81.9%,53,16.20
6,155,贾克森-海斯,鹈鹕,7.50,2.90-4.70,62.5%,0.10-0.20,42.9%,1.50-2.00,77.5%,60,16.10
7,155,德安德烈-乔丹,篮网,7.50,3.30-4.40,76.3%,0.00-0.00,0%,0.80-1.60,50%,57,21.90
8,158,肯特-贝兹莫尔,勇士,7.20,2.60-5.80,44.9%,1.10-2.80,40.8%,0.80-1.20,69.2%,67,19.90
9,158,胡安-埃尔南戈麦斯,森林狼,7.20,2.50-5.80,43.5%,1.10-3.20,32.7%,1.10-1.90,61.9%,52,17.30
10,158,阿龙-霍勒迪,步行者,7.20,2.60-6.60,39%,1.00-2.80,36.8%,1.00-1.30,81.9%,66,17.80
11,161,德雷蒙德-格林,勇士,7.00,2.70-6.00,44.7%,0.50-2.00,27%,1.10-1.40,79.5%,63,31.50
12,161,特伦斯-曼恩,快船,7.00,2.70-5.20,50.9%,0.60-1.40,41.8%,1.20-1.40,83%,67,18.90
13,161,德怀特-霍华德,76人,7.00,2.60-4.40,58.7%,0.10-0.30,25%,1.80-3.00,57.6%,69,17.30
14,161,罗伊斯-奥尼尔,爵士,7.00,2.50-5.60,44.4%,1.50-3.90,38.5%,0.60-0.60,84.8%,71,31.60
15,165,乔治-尼昂,爵士,6.90,2.50-5.60,43.7%,1.70-4.10,42.5%,0.30-0.30,95.7%,72,16.00
16,166,杰登-麦克丹尼尔斯,森林狼,6.80,2.60-5.80,44.7%,1.10-3.10,36.4%,0.40-0.70,60%,63,24.00
17,166,帕特-康诺顿,雄鹿,6.80,2.40-5.60,43.4%,1.50-3.90,37.1%,0.40-0.60,77.5%,69,22.80
18,166,小德里克-琼斯,开拓者,6.80,2.50-5.20,48.4%,0.70-2.30,31.6%,1.00-1.60,64.8%,58,22.70
19,169,马基夫-莫里斯,湖人,6.70,2.50-6.20,40.5%,1.10-3.40,31.1%,0.60-0.80,72%,61,19.70
20,170,泽维尔-蒂尔曼,灰熊,6.60,2.80-5.10,55.9%,0.40-1.10,33.8%,0.60-0.90,64.2%,59,18.40
